年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2022-03-01,141003,横浜市,437.78,1764011,3766056,1858911,1907145,2.13,8603,-913,-2846
2022-03-01,141011,鶴見区,33.23,145285,295140,152082,143058,2.03,8882,-129,-237
2022-03-01,141020,神奈川区,23.72,130092,247069,125935,121134,1.90,10416,-129,-199
2022-03-01,141038,西区,7.03,57203,104425,52736,51689,1.83,14854,27,41
2022-03-01,141046,中区,21.50,84766,149979,76251,73728,1.77,6976,-88,-196
2022-03-01,141054,南区,12.65,104375,197076,98261,98815,1.89,15579,-30,-197
2022-03-01,141119,港南区,19.90,96505,214912,104703,110209,2.23,10800,-31,-176
2022-03-01,141062,保土ケ谷区,21.93,99265,206014,100869,105145,2.08,9394,-147,-264
2022-03-01,141127,旭区,32.73,107173,243022,117184,125838,2.27,7425,-27,-157
2022-03-01,141071,磯子区,19.05,79079,166118,81703,84415,2.10,8720,-27,-56
2022-03-01,141089,金沢区,30.96,89924,196934,95776,101158,2.19,6361,-115,-235
2022-03-01,141097,港北区,31.40,176627,359042,179064,179978,2.03,11434,-136,-205
2022-03-01,141135,緑区,25.51,80174,182941,89892,93049,2.28,7171,-19,-94
2022-03-01,141178,青葉区,35.22,134161,310782,149927,160855,2.32,8824,-63,-254
2022-03-01,141186,都筑区,27.87,86351,214791,105219,109572,2.49,7707,14,-71
2022-03-01,141101,戸塚区,35.79,123234,283597,138171,145426,2.30,7924,-47,-265
2022-03-01,141151,栄区,18.52,53285,120425,58644,61781,2.26,6502,28,-62
2022-03-01,141160,泉区,23.58,63504,151888,73588,78300,2.39,6441,-5,-136
2022-03-01,141143,瀬谷区,17.17,53008,121901,58906,62995,2.30,7100,11,-83
